index_id	category	text	language
548	sports	دڠن ماوبه نيبك سڤرڤت او سيتڠوه ميل جيڤلوڠ, اوكور ك باݢه ڤلوڠ جد ك لبيه هنا ڤنتيڠ ڠن تناݢ جد ك حل ڽڠ ك كبوتوهن.	ace_Arab
824	travel	كالن بك ڤو ڽڠ ݢڤتب لي اݢين, ڤو ڽڠ نا بك ويبسيت اتوا بك تيڠكڤ توكو.	ace_Arab
1628	geography	جومله اورڠ ڽڠ تيڠݢل بك كوتا فاكيتن ڽنكه كورڠ لبيه ٨٠٠. ڽنكه نڠݢري مردهكا ڽڠ ڤاليڠ اوبيت د دونيا ڠن نڠݢري ڽڠ ڤاليڠ ديت اورڠ تيڠݢل.	ace_Arab
1596	science/technology	اوجي چوبا هيرسهي ڠن چهيسى ناكه ساله سابوه ڤنداڤت مشهور د ن أ ڽن ناكه سابوه ماتري ݢينيتيك.	ace_Arab
739	geography	ڤولو چووق ڽنكه ڤولو ڽڠ مساڤت ببس ڠن سلنديا بارو, نا د ڤوليسينيا, بك تڠوه تڠوه بله تونوڠ سامودرا ڤاسيفيك.	ace_Arab
548	sports	Dengön meuubah nibak siperpeut u siteungoh mil jiplueng, ukoe keu bagah plueng jeuet keu leubѐh hana peunteng ngön teunaga jeuet keu hai nyang keu kebutuhan.	ace_Latn
824	travel	Kalon bak peu nyang geupeutaba le agen, peu nyang na bak website atawa bak tingkap toko.	ace_Latn
1628	geography	Jumlah ureueng nyang tinggai bak Kuta Vatikan nyankeuh kureueng leubѐh 800. Nyankeuh nanggroe meurdehka nyang paleng ubeut i donya ngön nanggroe nyang paleng dit ureueng tinggai.	ace_Latn
1596	science/technology	Ujoecuba Hershey ngön Chase nakeuh salah saboh peundapat meuceuhu DNA nyan nakeuh saboh materi genetik.	ace_Latn
739	geography	Pulo Cook nyankeuh pulo nyang meusapat bebah ngoen Selandia Baro, na i Polysinia, bak teungoh-teungoh blah Tunong Samudra Pasifik.	ace_Latn
548	sports	مع التغيير بمسافة السباق من 400 متر إلى 800 متر تصير السرعة أقل أهمية بهواية وتصير القدرة على التحمل ضرورة مطلقة.	acm_Arab
824	travel	أخذ نظرة على  الرحلات اللي يسويلها الوكيل دعاية، سواء كان هالشي على موقع إلكتروني أو على شباك محل.	acm_Arab
1628	geography	يبلغ عدد سكان مدينة الفاتيكان حوالي ٨٠٠. وهي أصغر دولة مستقلة بالعالم وأقل تعداد سكانيِ.	acm_Arab
1596	science/technology	كانت تجربة هيرشي وتشيس وحدة من الدلائل الرئيسية على أن الحمض النووي مادة وراثية.	acm_Arab
739	geography	جزر كوك هي دولة جزرية مرتبطة بشكل حر بنيوزيلندا، وتصير ببولينيزيا وسط جنوب المحيط الهادئ.	acm_Arab
548	sports	مع التغيير بمسافة السباق من ربع ميل إلى نُص ميل ترجع السرعة مش مهمة وترجع القدرة على التحمل ضرورية جداً.	acq_Arab
824	travel	اعمل نظرة على الرحلات اللي يقوم الوكيل بترويجها، سواءً كان ذلك على موقع إلكتروني أو في نافذة متجر.	acq_Arab
1628	geography	يصل عدد سكان مدينة الفاتيكان حوالي ٨٠٠. وهي أصغر دولة مستقلة بالعالم وأقل تعدادٍ سكانيِّ.	acq_Arab
1596	science/technology	كانت تجربة هيرشي وتشيس واحدة من الدلائل الرئيسية على أن الحمض النووي مادة وراثية.	acq_Arab
739	geography	جزر كوك هي دولة جزرية مرتبطة بشكل حر بنيوزيلندا، وتقع في بولينيزيا وسط جنوب المحيط الهادئ.	acq_Arab
